"wl","lw","mw","sw"
556,0.008367736,0.010022158,1.88e-05
557,0.008396979,0.009944167,1.7e-05
558,0.00842246,0.00985911,1.54e-05
559,0.008445818,0.009770108,1.4e-05
560,0.008468702,0.00968023,1.27e-05
561,0.008492353,0.009591513,1.15e-05
562,0.008516333,0.009502447,1.05e-05
563,0.008539743,0.009410702,9.51e-06
564,0.008561677,0.009314064,8.63e-06
565,0.00858123,0.009210379,7.84e-06
566,0.008597625,0.00909815,7.12e-06
567,0.008610646,0.00897799,6.46e-06
568,0.008620215,0.008850984,5.87e-06
569,0.008626273,0.008718219,5.33e-06
570,0.008628749,0.008580718,4.84e-06
571,0.008627403,0.008439093,4.4e-06
572,0.008621242,0.00829231,4e-06
573,0.008609127,0.00813904,3.64e-06
574,0.008589902,0.007978092,3.31e-06
575,0.008562454,0.007808431,3.01e-06
576,0.008526524,0.007629941,2.74e-06
577,0.008485097,0.007445576,2.49e-06
578,0.008441927,0.007258817,2.27e-06
579,0.008400698,0.00707286,2.07e-06
580,0.008365018,0.006890594,1.88e-06
581,0.008337251,0.006713918,1.71e-06
582,0.00831498,0.006541916,1.56e-06
583,0.008294642,0.006373088,1.42e-06
584,0.008272716,0.006206053,1.3e-06
585,0.008245708,0.00603963,1.19e-06
586,0.008210908,0.005872828,1.08e-06
587,0.008168497,0.005705255,9.89e-07
588,0.008119382,0.005536659,9.03e-07
589,0.008064485,0.005366892,8.25e-07
590,0.008004714,0.005195828,7.55e-07
591,0.007940783,0.005023573,6.9e-07
592,0.007872848,0.004850853,6.32e-07
593,0.007800875,0.004678481,5.78e-07
594,0.007724881,0.004507216,5.29e-07
595,0.007644858,0.004337735,4.85e-07
596,0.007560925,0.004170552,4.45e-07
597,0.007473559,0.004005859,4.08e-07
598,0.00738331,0.003843718,3.74e-07
599,0.007290705,0.003684225,3.43e-07
600,0.007196272,0.003527485,3.15e-07
601,0.007100293,0.003373635,2.9e-07
602,0.007002201,0.003223023,2.66e-07
603,0.00690127,0.003075998,2.45e-07
604,0.006796818,0.002932843,2.25e-07
605,0.006688216,0.002793813,2.07e-07
606,0.006575118,0.002659086,1.91e-07
607,0.006458017,0.0025288,1.76e-07
608,0.006337602,0.002403018,1.62e-07
609,0.006214538,0.002281802,1.5e-07
610,0.006089463,0.002165176,1.38e-07
611,0.005962887,0.002053126,1.28e-07
612,0.005834904,0.001945518,1.18e-07
613,0.005705541,0.001842213,1.09e-07
614,0.005574832,0.001743085,1.01e-07
615,0.00544282,0.001648018,9.31e-08
616,0.005309729,0.001556874,0
617,0.005176319,0.001469612,0
618,0.005043444,0.001386148,0
619,0.004911863,0.001306406,0
620,0.004782293,0.001230304,0
621,0.004654975,0.001157788,0
622,0.004528632,0.001088806,0
623,0.004401763,0.001023351,0
624,0.004273038,0.000961357,0
625,0.004141319,0.000902755,0
626,0.004006097,0.000847439,0
627,0.003868623,0.000795211,0
628,0.003730485,0.000745872,0
629,0.003593088,0.000699238,0
630,0.003457659,0.000655144,0
631,0.003325155,0.000613454,0
632,0.003195913,0.000574091,0
633,0.00307007,0.000536986,0
