177.169	662.16
177.554	612.34
177.94	1005.71
178.326	-784.21
178.711	1368.42
179.097	-318.78
179.482	-207.23
179.868	539.25
180.253	9.39
180.639	53.27
181.024	144.4
181.409	241.42
181.795	612.34
182.18	-63.83
182.565	-21.74
182.95	-22.73
183.336	64.15
183.721	61.39
184.106	54.01
184.491	47.91
184.876	-427.27
185.261	-1012.33
185.646	-158.63
186.031	-109.29
186.416	-3.43
186.801	-27.76
187.186	-37.68
187.57	4.34
187.955	3.64
188.34	-13.54
188.725	-18.01
189.11	-19.89
189.494	-15.42
189.879	-15.77
190.263	-8.55
190.648	-5.94
191.033	5.34
191.417	14.81
191.802	16.09
192.186	10.98
192.57	16.28
192.955	16.11
193.339	14.59
193.723	3.27
194.108	2.93
194.492	0.24
194.876	-1.1
195.26	-7.71
195.645	-15.64
196.029	-25.99
196.413	-12.64
196.797	-11.79
197.181	-7.54
197.565	-8.14
197.949	-4.53
198.333	-9.04
198.717	-3.49
199.101	-4.27
199.484	-5.9
199.868	-6.94
200.252	-2.72
200.636	-10.29
201.019	-8.4
201.403	-10.28
201.787	-13.28
202.17	-7.75
202.554	-9.24
202.937	-6.05
203.321	-7.08
203.704	-1.44
204.088	11.66
204.471	11.27
204.855	13
205.238	10.24
205.621	7.84
206.005	15.56
206.388	15.16
206.771	20.59
207.154	17
207.537	20.1
207.921	15.98
208.304	-0.91
208.687	-7.39
209.07	-10.03
209.453	-7.33
209.836	-11.75
210.219	-23.01
210.601	-33.08
210.984	-37.95
211.367	-42.41
211.75	-54.29
212.133	-43.59
212.515	-24.53
212.898	-25.31
213.281	-35.33
213.663	-36
214.046	-35.22
214.428	-30.53
214.811	-29.61
215.193	-28.45
215.576	-37.3
215.958	-24.09
216.341	-23.7
216.723	-35.8
217.105	-46.34
217.488	-31.45
217.87	-25.67
218.252	-25.8
218.634	-25.83
219.017	-18.02
219.399	-18.81
219.781	-4.84
220.163	-8.68
220.545	-12.84
220.927	-14.2
221.309	-7.37
221.691	-8.72
222.073	-11.95
222.455	-11.94
222.836	-10.53
223.218	-14.05
223.6	-5.72
223.982	-6.1
224.363	-4.02
224.745	-2.54
225.127	2.87
225.508	8.07
225.89	13.4
226.271	9.28
226.653	14.91
227.034	15.5
227.416	17.93
227.797	7.94
228.178	6.09
228.56	6.37
228.941	4.38
229.322	6.08
229.704	-3.15
230.085	-5.91
230.466	-5.4
230.847	-7.04
231.228	-12.31
231.609	-15.47
231.99	-11.32
232.371	-9.55
232.752	-6.29
233.133	-7.5
233.514	-10.38
233.895	-4.28
234.276	-3.12
234.657	0.73
235.037	2.08
235.418	4.84
235.799	2.96
236.179	1.83
236.56	2.67
236.941	0.46
237.321	4.21
237.702	7.31
238.082	9.72
238.463	9.29
238.843	8.72
239.223	7.64
239.604	6.52
239.984	6.97
240.364	6.9
240.745	5.74
241.125	5.75
241.505	5.43
241.885	4.93
242.265	4.09
242.645	3.88
243.025	3.36
243.405	3.01
243.785	2.83
244.165	2.83
244.545	2.81
244.925	2.7
245.305	2.4
245.685	2.12
246.065	1.97
246.444	1.97
246.824	1.97
247.204	2.11
247.583	2.12
247.963	2.1
248.343	2.09
248.722	1.88
249.102	1.97
249.481	1.86
249.861	1.84
250.24	1.82
250.619	1.91
250.999	1.99
251.378	1.89
251.757	1.82
252.136	1.89
252.516	1.83
252.895	1.99
253.274	1.86
253.653	2.01
254.032	2.13
254.411	2.23
254.79	2.56
255.169	2.36
255.548	2.25
255.927	2.3
256.306	2.13
256.685	2.06
257.063	1.9
257.442	1.83
257.821	1.83
258.199	1.79
258.578	1.79
258.957	1.72
259.335	1.83
259.714	1.87
260.092	1.86
260.471	1.88
260.849	1.96
261.228	1.98
261.606	2.05
261.984	2.08
262.363	2.15
262.741	2.28
263.119	2.16
263.497	2.05
263.876	2.11
264.254	2.22
264.632	2.42
265.01	2.42
265.388	2.46
265.766	2.51
266.144	2.44
266.522	2.5
266.9	2.39
267.278	2.36
267.655	2.36
268.033	2.18
268.411	2.09
268.789	1.93
