376	485
361	501
345	511
323	517
277	517
216	512
167	503
137	489
117	469
91	425
79	401
59	361
45	330
35	309
23	279
15	255
11	227
11	189
16	153
27	122
47	92
74	62
107	40
144	33
199	27
243	23
251	18
259	15
264	16
273	18
295	19
315	18
324	13
334	15
339	21
353	26
382	28
401	31
415	31
431	30
455	31
484	43
513	62
541	91
556	118
570	147
576	186
581	225
569	273
555	311
539	347
522	381
509	406
490	445
470	477
451	492
425	491
407	490
383	488
343	475
389	464
407	471
451	463
428	467
406	468
391	464
383	457
369	453
332	481
309	499
295	502
279	495
233	461
223	452
209	449
199	464
176	457
152	464
177	459
200	465
209	449
222	452
233	462
279	496
295	502
311	499
333	481
344	475
